Pares,FrEstC,IDP,IDI,Ed,Esc,Gra,ApEs,BoolEs,FrEs,StEs,LEs,ApGen,BoolGen,FrGen,StGen,LGen,Face,FrFace,SF,LF,SFBool
embarazo y bebé,9,1,71,14,4,3,1,true,1,0,44416,1,true,6,0,300,1,7,0,6602,1
embarazo y mujer,5,1,385,14,4,3,0,false,0,0,0,1,true,10,0.028333334,237,1,10,0.028333334,237,1.028333334
embarazo y calentura,3,1,89,14,4,3,0,false,0,0,0,0,false,0,0,0,0,0,0,0,1
acoso y mujeres,8,2,387,14,4,3,0,false,0,0,0,1,true,37,0.180651105,128,1,37,0.180651105,128,1.180651105
acoso y sexual,4,2,541,15,4,3,0,false,0,0,0,1,true,22,0.383367768,70,1,22,0.383367768,70,1.383367768
acoso y violencia,4,2,605,14,4,3,0,false,0,0,0,1,true,29,0.152873563,122,1,29,0.152873563,122,1.152873563
futuro y estudios,4,3,233,14,4,3,1,true,1,0.15,1188,1,true,1,0.7,20454,1,2,0.425,10821,1.425
futuro y tecnología,4,3,559,14,4,3,0,false,0,0,0,1,true,29,0.052455591,299,1,29,0.052455591,299,1.052455591
futuro y trabajo,4,3,583,14,4,3,0,false,0,0,0,1,true,81,0.005471381,345,1,81,0.005471381,345,1.005471381
emociones y felicidad,13,4,247,14,4,3,0,false,0,0,0,1,true,2,0,13,1,2,0,13,1
emociones y tristeza,10,4,588,14,4,3,0,false,0,0,0,0,false,0,0,0,0,0,0,0,1
emociones y amor,5,4,43,14,4,3,1,true,1,-0.8,31956,1,true,1,0,15,1,2,-0.4,15985,0.6
drogas y adicción,13,5,18,14,4,3,0,false,0,0,0,0,false,0,0,0,0,0,0,0,1
drogas y muerte,8,5,384,14,4,3,0,false,0,0,0,0,false,0,0,0,0,0,0,0,1
drogas y narcotrafico,3,5,392,14,4,3,0,false,0,0,0,0,false,0,0,0,0,0,0,0,1
alcohol y fiesta,5,6,254,14,4,3,0,false,0,0,0,0,false,0,0,0,0,0,0,0,1
alcohol y accidentes,4,6,9,14,4,3,0,false,0,0,0,1,true,4,0,18,1,4,0,18,1
alcohol y borracho,4,6,78,14,4,3,1,true,1,0,12799,0,false,0,0,0,1,1,0,12799,1
fiesta y alcohol,15,7,26,14,4,3,0,false,0,0,0,0,false,0,0,0,0,0,0,0,1
fiesta y diversión,11,7,205,14,4,3,0,false,0,0,0,1,true,5,0,13,1,5,0,13,1
fiesta y drogas,5,7,212,14,4,3,0,false,0,0,0,0,false,0,0,0,0,0,0,0,1
"novio, novia y amor",12,8,43,14,4,3,1,true,5,0,5622,1,true,6,0.083333333,402,1,11,0.045454545,2775,1.045454545
"novio, novia y confianza",3,8,137,14,4,3,0,false,0,0,0,0,false,0,0,0,0,0,0,0,1
"novio, novia y dinero",3,8,200,14,4,3,1,true,1,0.15,78757,1,true,1,0.15,78757,1,2,0.15,78757,1.15
