"interpretacion","id_interpretacion","edad","id_usuario","id_escuela","grado","id_palabra"
"15 años","1","14","56","4","3","7"
"abandono","2","14","78","4","3","5"
"abandono","2","14","78","4","3","6"
"aborto","3","16","1","8","2","1"
"aborto","3","13","29","8","2","1"
"aborto","3","13","36","8","2","1"
"aborto","3","14","78","4","3","1"
"aborto","3","null","79","8","3","1"
"aborto","3","15","82","8","3","1"
"aborto","3","null","88","8","3","1"
"aborto","3","14","91","8","3","1"
"aborto","3","null","93","8","3","1"
"aborto","3","null","97","8","3","1"
"aborto","3","14","99","8","3","1"
"aborto","3","null","97","8","3","16"
"abuela","4","15","55","4","3","12"
"abuela","4","15","77","4","3","17"
"aburrido","5","13","20","8","2","3"
"aburrido","5","13","6","8","2","13"
"abuso","6","16","1","8","2","2"
"abuso","6","15","96","8","3","2"
"abuso","6","15","70","4","3","6"
"abuso familiar","7","13","18","8","2","6"
"accidente","8","14","56","4","3","1"
"accidente","8","13","9","8","2","16"
"accidentes","9","14","41","4","3","6"
"accidentes","9","14","42","4","3","6"
"accidentes","9","14","64","4","3","6"
"accidentes","9","15","65","4","3","6"
"accidentes","9","15","96","8","3","6"
"aceptación","10","13","14","8","2","10"
"aceptación","10","13","10","8","2","16"
"aceptación","10","13","21","8","2","16"
"aceptación","10","13","25","8","2","16"
"aceptación","10","13","26","8","2","16"
"aceptación","10","13","36","8","2","16"
"aceptación","10","13","37","8","2","16"
"acesinato","11","13","31","8","2","2"
"acogedora","12","14","43","4","3","13"
"acosador","13","14","2","8","2","2"
"acoso","14","14","44","4","3","2"
"acoso cibernético","15","14","68","4","3","2"
"acoso sexual","16","13","25","8","2","2"
"actitud negativa","17","14","23","8","2","2"
"adicción","18","16","1","8","2","5"
"adicción","18","14","2","8","2","5"
"adicción","18","13","10","8","2","5"
"adicción","18","13","14","8","2","5"
"adicción","18","null","15","8","2","5"
"adicción","18","13","18","8","2","5"
"adicción","18","13","21","8","2","5"
"adicción","18","14","23","8","2","5"
"adicción","18","13","25","8","2","5"
"adicción","18","13","28","8","2","5"
"adicción","18","13","30","8","2","5"
"adicción","18","13","37","8","2","5"
"adicción","18","13","38","8","2","5"
"adicción","18","13","39","8","2","5"
"adicción","18","14","40","8","2","5"
"adicción","18","14","41","4","3","5"
"adicción","18","14","42","4","3","5"
"adicción","18","14","43","4","3","5"
"adicción","18","15","46","4","3","5"
"adicción","18","15","48","4","3","5"
"adicción","18","14","49","4","3","5"
"adicción","18","14","52","4","3","5"
"adicción","18","14","62","4","3","5"
"adicción","18","14","64","4","3","5"
"adicción","18","15","65","4","3","5"
"adicción","18","15","70","4","3","5"
"adicción","18","14","72","4","3","5"
"adicción","18","14","78","4","3","5"
"adicción","18","null","79","8","3","5"
"adicción","18","null","80","8","3","5"
"adicción","18","15","82","8","3","5"
"adicción","18","16","84","8","3","5"
"adicción","18","14","86","8","3","5"
