Pares,FrEstC,IDP,IDI,Ed,Esc,Gra,ApEs,BoolEs,FrEs,StEs,LEs,ApGen,BoolGen,FrGen,StGen,LGen,Face,FrFace,SF,LF
embarazo y bebé,9,1,71,14.11111111111111,4,3,1,true,1,0.0,44416,1,true,6,0.0,300,1,7,0.0,6602
embarazo y mujer,5,1,385,14.0,4,3,0,false,0,0.0,0,1,true,10,0.028333333500000002,237,1,10,0.028333333500000002,237
embarazo y calentura,3,1,89,14.333333333333334,4,3,0,false,0,0.0,0,0,false,0,0.0,0,0,0,0.0,0
acoso y mujeres,8,2,387,14.375,4,3,0,false,0,0.0,0,1,true,37,0.1806511054054054,128,1,37,0.1806511054054054,128
acoso y sexual,4,2,541,14.5,4,3,0,false,0,0.0,0,1,true,22,0.38336776818181817,70,1,22,0.3833677681818182,70
acoso y violencia,4,2,605,14.0,4,3,0,false,0,0.0,0,1,true,29,0.15287356327586207,122,1,29,0.15287356327586207,122
futuro y estudios,4,3,233,14.25,4,3,1,true,1,0.15,1188,1,true,1,0.7,20454,1,2,0.425,10821
futuro y tecnología,4,3,559,14.0,4,3,0,false,0,0.0,0,1,true,29,0.05245559103448275,299,1,29,0.05245559103448276,299
futuro y trabajo,4,3,583,14.333333333333334,4,3,0,false,0,0.0,0,1,true,81,0.005471380567901237,345,1,81,0.005471380567901231,345
emociones y felicidad,13,4,247,14.23076923076923,4,3,0,false,0,0.0,0,1,true,2,0.0,13,1,2,0.0,13
emociones y tristeza,10,4,588,14.4,4,3,0,false,0,0.0,0,0,false,0,0.0,0,0,0,0.0,0
emociones y amor,5,4,43,14.2,4,3,1,true,1,-0.8,31956,1,true,1,0.0,15,1,2,-0.4,15985
drogas y adicción,13,5,18,14.307692307692308,4,3,0,false,0,0.0,0,0,false,0,0.0,0,0,0,0.0,0
drogas y muerte,8,5,384,14.25,4,3,0,false,0,0.0,0,0,false,0,0.0,0,0,0,0.0,0
drogas y narcotrafico,3,5,392,14.0,4,3,0,false,0,0.0,0,0,false,0,0.0,0,0,0,0.0,0
alcohol y fiesta,5,6,254,14.25,4,3,0,false,0,0.0,0,0,false,0,0.0,0,0,0,0.0,0
alcohol y accidentes,4,6,9,14.25,4,3,0,false,0,0.0,0,1,true,4,0.0,18,1,4,0.0,18
alcohol y borracho,4,6,78,14.25,4,3,1,true,1,0.0,12799,0,false,0,0.0,0,1,1,0.0,12799
fiesta y alcohol,15,7,26,14.285714285714286,4,3,0,false,0,0.0,0,0,false,0,0.0,0,0,0,0.0,0
fiesta y diversión,11,7,205,14.2,4,3,0,false,0,0.0,0,1,true,5,0.0,13,1,5,0.0,13
fiesta y drogas,5,7,212,14.0,4,3,0,false,0,0.0,0,0,false,0,0.0,0,0,0,0.0,0
"novio, novia y amor",12,8,43,14.166666666666666,4,3,1,true,5,0.0,5622,1,true,6,0.08333333333333333,402,1,11,0.045454545454545456,2775
"novio, novia y confianza",3,8,137,14.0,4,3,0,false,0,0.0,0,0,false,0,0.0,0,0,0,0.0,0
"novio, novia y dinero",3,8,200,14.0,4,3,1,true,1,0.15,78757,1,true,1,0.15,78757,1,2,0.15,78757
sexo y embarazo,7,9,218,14.142857142857142,4,3,0,false,0,0.0,0,0,false,0,0.0,0,0,0,0.0,0
sexo y género,4,9,266,14.25,4,3,0,false,0,0.0,0,1,true,1,0.0,1,1,1,0.0,1
sexo y hombre,3,9,296,14.0,4,3,0,false,0,0.0,0,0,false,0,0.0,0,0,0,0.0,0
autoestima y alta,14,10,32,14.357142857142858,4,3,0,false,0,0.0,0,1,true,1,0.0,18,1,1,0.0,18
autoestima y baja,10,10,69,14.4,4,3,0,false,0,0.0,0,0,false,0,0.0,0,0,0,0.0,0
autoestima y suicidio,5,10,556,14.0,4,3,0,false,0,0.0,0,0,false,0,0.0,0,0,0,0.0,0
tecnología y celular,10,11,109,14.2,4,3,0,false,0,0.0,0,1,true,7,0.0014285714285714286,86,1,7,0.0014285714285714286,86
tecnología y futuro,8,11,263,14.142857142857142,4,3,0,false,0,0.0,0,1,true,29,0.05245559103448275,299,1,29,0.05245559103448276,299
tecnología y china,5,11,113,14.2,4,3,0,false,0,0.0,0,1,true,7,0.07380952285714286,34,1,7,0.07380952285714285,34
padres y amor,7,12,43,14.166666666666666,4,3,1,true,3,0.06666666666666667,2823,1,true,3,0.0,309,1,6,0.03333333333333333,1566
padres y cariño,4,12,98,14.0,4,3,0,false,0,0.0,0,1,true,2,0.025,61819,1,2,0.025,61819
padres y confianza,4,12,137,14.25,4,3,0,false,0,0.0,0,1,true,1,-0.11666667,819,1,1,-0.11666667,819
hogar y familia,6,13,244,14.333333333333334,4,3,1,true,5,0.0,4564,1,true,71,0.06027528823943662,663,1,76,0.05630980875,919
hogar y tranquilidad,5,13,587,14.0,4,3,0,false,0,0.0,0,1,true,1,0.0,751,1,1,0.0,751
hogar y comodidad,4,13,124,14.0,4,3,0,false,0,0.0,0,1,true,15,0.022424242666666667,226,1,15,0.022424242666666667,226
conflictos y pelea,18,14,440,14.235294117647058,4,3,0,false,0,0.0,0,0,false,0,0.0,0,0,0,0.0,0
conflictos y golpes,6,14,272,14.333333333333334,4,3,0,false,0,0.0,0,0,false,0,0.0,0,0,0,0.0,0
conflictos y amigos,2,14,40,14.0,4,3,0,false,0,0.0,0,0,false,0,0.0,0,0,0,0.0,0
depresión y tristeza,8,15,588,14.125,4,3,0,false,0,0.0,0,1,true,4,-0.025,213,1,4,-0.025,213
depresión y música,7,15,388,14.714285714285714,4,3,0,false,0,0.0,0,0,false,0,0.0,0,0,0,0.0,0
depresión y autoestima baja,4,15,60,14.0,4,3,0,false,0,0.0,0,0,false,0,0.0,0,0,0,0.0,0
orientación sexual y información,4,16,314,14.0,4,3,0,false,0,0.0,0,0,false,0,0.0,0,0,0,0.0,0
orientación sexual y papás,3,16,427,14.333333333333334,4,3,0,false,0,0.0,0,0,false,0,0.0,0,0,0,0.0,0
orientación sexual y protección,3,16,485,14.0,4,3,0,false,0,0.0,0,0,false,0,0.0,0,0,0,0.0,0
confianza y amigos,17,17,40,14.294117647058824,4,3,0,false,0,0.0,0,0,false,0,0.0,0,0,0,0.0,0
confianza y mamá,8,17,357,14.25,4,3,0,false,0,0.0,0,1,true,12,0.004166666666666667,15225,1,12,0.004166666666666667,15225
confianza y familia,5,17,244,14.4,4,3,1,true,2,0.0,2358,1,true,8,-0.045454545,669,1,10,-0.036363636,1007
embarazo y bebé,14,1,71,13.428571428571429,8,2,1,true,1,0.0,44416,1,true,6,0.0,300,1,7,0.0,6602
embarazo y familia,11,1,244,13.4,8,2,0,false,0,0.0,0,1,true,2,0.0,8,1,2,0.0,8
embarazo y hijo,7,1,293,13.0,8,2,0,false,0,0.0,0,1,true,3,0.0,40,1,3,0.0,40
acoso y incomodidad,9,2,310,13.444444444444445,8,2,0,false,0,0.0,0,0,false,0,0.0,0,0,0,0.0,0
acoso y violación,9,2,604,13.333333333333334,8,2,0,false,0,0.0,0,0,false,0,0.0,0,0,0,0.0,0
acoso y golpes,4,2,272,13.25,8,2,0,false,0,0.0,0,0,false,0,0.0,0,0,0,0.0,0
futuro y metas,12,3,372,13.545454545454545,8,2,0,false,0,0.0,0,1,true,3,0.3,494,1,3,0.3,494
futuro y estudios,7,3,233,13.285714285714286,8,2,1,true,1,0.15,1188,1,true,1,0.7,20454,1,2,0.425,10821
futuro y familia,6,3,244,13.0,8,2,1,true,1,0.0,14259,1,true,40,0.07031250024999999,296,1,41,0.0685975612195122,637
emociones y sentimientos,16,4,537,13.5,8,2,0,false,0,0.0,0,1,true,1,0.0,55,1,1,0.0,55
emociones y felicidad,9,4,247,13.125,8,2,0,false,0,0.0,0,1,true,2,0.0,13,1,2,0.0,13
emociones y amor,6,4,43,13.25,8,2,1,true,1,-0.8,31956,1,true,1,0.0,15,1,2,-0.4,15985
drogas y adicción,15,5,18,13.428571428571429,8,2,0,false,0,0.0,0,0,false,0,0.0,0,0,0,0.0,0
drogas y peligro,6,5,442,13.5,8,2,0,false,0,0.0,0,1,true,2,0.09375,228,1,2,0.09375,228
drogas y adolescentes,5,5,21,13.8,8,2,0,false,0,0.0,0,1,true,1,0.5,16777,1,1,0.5,16777
alcohol y fiesta,16,6,254,13.285714285714286,8,2,0,false,0,0.0,0,0,false,0,0.0,0,0,0,0.0,0
alcohol y diversión,4,6,205,13.25,8,2,0,false,0,0.0,0,0,false,0,0.0,0,0,0,0.0,0
alcohol y cruda,3,6,165,13.666666666666666,8,2,0,false,0,0.0,0,0,false,0,0.0,0,0,0,0.0,0
fiesta y diversión,18,7,205,13.125,8,2,0,false,0,0.0,0,1,true,5,0.0,13,1,5,0.0,13
fiesta y alcohol,13,7,26,13.384615384615385,8,2,0,false,0,0.0,0,0,false,0,0.0,0,0,0,0.0,0
fiesta y música,6,7,388,13.4,8,2,1,true,3,0.0,26437,1,true,30,0.008939394333333333,152,1,33,0.008126722121212121,2542
"novio, novia y desconfianza",9,8,183,13.444444444444445,8,2,0,false,0,0.0,0,0,false,0,0.0,0,0,0,0.0,0
"novio, novia y tóxica",9,8,578,13.333333333333334,8,2,0,false,0,0.0,0,0,false,0,0.0,0,0,0,0.0,0
"novio, novia y amor",8,8,43,13.0,8,2,1,true,5,0.0,5622,1,true,6,0.08333333333333333,402,1,11,0.045454545454545456,2775
sexo y condón,8,9,135,13.125,8,2,0,false,0,0.0,0,0,false,0,0.0,0,0,0,0.0,0
sexo y hijos,8,9,294,13.125,8,2,0,false,0,0.0,0,0,false,0,0.0,0,0,0,0.0,0
sexo y bebé,6,9,71,13.0,8,2,0,false,0,0.0,0,0,false,0,0.0,0,0,0,0.0,0
autoestima y baja,22,10,69,13.263157894736842,8,2,0,false,0,0.0,0,0,false,0,0.0,0,0,0,0.0,0
autoestima y alta,4,10,32,13.0,8,2,0,false,0,0.0,0,1,true,1,0.0,18,1,1,0.0,18
autoestima y amor propio,4,10,44,13.25,8,2,0,false,0,0.0,0,0,false,0,0.0,0,0,0,0.0,0
tecnología y celular,11,11,109,13.11111111111111,8,2,0,false,0,0.0,0,1,true,7,0.0014285714285714286,86,1,7,0.0014285714285714286,86
tecnología y redes sociales,6,11,498,13.5,8,2,1,true,2,0.16666667,4077,0,false,0,0.0,0,1,2,0.16666667,4077
tecnología y videojuegos,5,11,601,13.0,8,2,0,false,0,0.0,0,1,true,2,0.0,380,1,2,0.0,380
padres y responsabilidad,8,12,513,13.125,8,2,0,false,0,0.0,0,1,true,1,0.0,20763,1,1,0.0,20763
padres y amor,6,12,43,13.2,8,2,1,true,3,0.06666666666666667,2823,1,true,3,0.0,309,1,6,0.03333333333333333,1566
padres y regaños,6,12,500,13.0,8,2,0,false,0,0.0,0,0,false,0,0.0,0,0,0,0.0,0
hogar y protección,7,13,485,13.714285714285714,8,2,0,false,0,0.0,0,1,true,8,0.046527777874999995,47,1,8,0.046527777874999995,47
hogar y comodidad,6,13,124,13.0,8,2,0,false,0,0.0,0,1,true,15,0.022424242666666667,226,1,15,0.022424242666666667,226
hogar y familia,6,13,244,13.0,8,2,1,true,5,0.0,4564,1,true,71,0.06027528823943662,663,1,76,0.05630980875,919
conflictos y pelea,19,14,440,13.277777777777779,8,2,0,false,0,0.0,0,0,false,0,0.0,0,0,0,0.0,0
conflictos y miedo,7,14,376,13.0,8,2,0,false,0,0.0,0,0,false,0,0.0,0,0,0,0.0,0
conflictos y golpes,4,14,272,13.25,8,2,0,false,0,0.0,0,0,false,0,0.0,0,0,0,0.0,0
depresión y autoestima baja,10,15,60,13.333333333333334,8,2,0,false,0,0.0,0,0,false,0,0.0,0,0,0,0.0,0
depresión y suicidio,7,15,556,13.571428571428571,8,2,0,false,0,0.0,0,1,true,1,-0.1,29,1,1,-0.1,29
depresión y falta de padres,3,15,242,14.0,8,2,0,false,0,0.0,0,0,false,0,0.0,0,0,0,0.0,0
orientación sexual y apoyo,9,16,51,13.25,8,2,0,false,0,0.0,0,0,false,0,0.0,0,0,0,0.0,0
orientación sexual y aceptación,6,16,10,13.0,8,2,0,false,0,0.0,0,0,false,0,0.0,0,0,0,0.0,0
orientación sexual y prevención,5,16,478,13.0,8,2,0,false,0,0.0,0,0,false,0,0.0,0,0,0,0.0,0
confianza y amigos,18,17,40,13.117647058823529,8,2,0,false,0,0.0,0,0,false,0,0.0,0,0,0,0.0,0
confianza y apoyo,7,17,51,13.166666666666666,8,2,1,true,1,0.8,5484,1,true,8,-0.06875,7619,1,9,0.027777777777777776,7381
confianza y seguridad,7,17,535,13.142857142857142,8,2,0,false,0,0.0,0,1,true,8,0.0,8691,1,8,0.0,8691
embarazo y aborto,7,1,3,14.333333333333334,8,3,0,false,0,0.0,0,0,false,0,0.0,0,0,0,0.0,0
embarazo y responsabilidad,7,1,513,14.75,8,3,0,false,0,0.0,0,1,true,1,0.05,13,1,1,0.05,13
embarazo y no deseado,3,1,402,14.333333333333334,8,3,0,false,0,0.0,0,0,false,0,0.0,0,0,0,0.0,0
acoso y bullying,6,2,85,14.25,8,3,0,false,0,0.0,0,0,false,0,0.0,0,0,0,0.0,0
acoso y agresión,4,2,24,15.0,8,3,0,false,0,0.0,0,1,true,3,0.07777777833333334,18,1,3,0.07777777833333334,18
acoso y observación,3,2,418,14.5,8,3,0,false,0,0.0,0,0,false,0,0.0,0,0,0,0.0,0
futuro y trabajo,9,3,583,15.333333333333334,8,3,0,false,0,0.0,0,1,true,81,0.005471380567901237,345,1,81,0.005471380567901231,345
futuro y estudios,7,3,233,14.75,8,3,1,true,1,0.15,1188,1,true,1,0.7,20454,1,2,0.425,10821
futuro y metas,6,3,372,14.5,8,3,0,false,0,0.0,0,1,true,3,0.3,494,1,3,0.3,494
emociones y felicidad,11,4,247,14.333333333333334,8,3,0,false,0,0.0,0,1,true,2,0.0,13,1,2,0.0,13
emociones y alegría,5,4,27,15.0,8,3,0,false,0,0.0,0,0,false,0,0.0,0,0,0,0.0,0
emociones y confusión,5,4,141,14.0,8,3,0,false,0,0.0,0,0,false,0,0.0,0,0,0,0.0,0
drogas y adicción,16,5,18,14.454545454545455,8,3,0,false,0,0.0,0,0,false,0,0.0,0,0,0,0.0,0
drogas y alucinación,5,5,33,14.5,8,3,0,false,0,0.0,0,0,false,0,0.0,0,0,0,0.0,0
drogas y perdición,4,5,448,14.5,8,3,0,false,0,0.0,0,0,false,0,0.0,0,0,0,0.0,0
alcohol y fiesta,8,6,254,14.4,8,3,0,false,0,0.0,0,0,false,0,0.0,0,0,0,0.0,0
alcohol y vicio,8,6,597,14.4,8,3,0,false,0,0.0,0,0,false,0,0.0,0,0,0,0.0,0
alcohol y borracho,3,6,78,15.0,8,3,1,true,1,0.0,12799,0,false,0,0.0,0,1,1,0.0,12799
fiesta y diversión,13,7,205,14.25,8,3,0,false,0,0.0,0,1,true,5,0.0,13,1,5,0.0,13
fiesta y drogas,5,7,212,14.333333333333334,8,3,0,false,0,0.0,0,0,false,0,0.0,0,0,0,0.0,0
fiesta y alcohol,4,7,26,14.666666666666666,8,3,0,false,0,0.0,0,0,false,0,0.0,0,0,0,0.0,0
"novio, novia y sentimientos",8,8,537,15.0,8,3,0,false,0,0.0,0,0,false,0,0.0,0,0,0,0.0,0
"novio, novia y afecto",6,8,23,14.666666666666666,8,3,0,false,0,0.0,0,0,false,0,0.0,0,0,0,0.0,0
"novio, novia y amor",5,8,43,14.666666666666666,8,3,1,true,5,0.0,5622,1,true,6,0.08333333333333333,402,1,11,0.045454545454545456,2775
sexo y confianza,7,9,137,14.2,8,3,0,false,0,0.0,0,0,false,0,0.0,0,0,0,0.0,0
sexo y embarazo,6,9,218,14.5,8,3,0,false,0,0.0,0,0,false,0,0.0,0,0,0,0.0,0
sexo y amor,4,9,43,15.0,8,3,1,true,1,0.16637807,15811,1,true,2,0.0,3,1,3,0.05545935666666666,5272
autoestima y buena,4,10,81,14.666666666666666,8,3,0,false,0,0.0,0,0,false,0,0.0,0,0,0,0.0,0
autoestima y alta,3,10,32,14.0,8,3,0,false,0,0.0,0,1,true,1,0.0,18,1,1,0.0,18
autoestima y emociones,2,10,222,15.0,8,3,0,false,0,0.0,0,0,false,0,0.0,0,0,0,0.0,0
tecnología y celular,5,11,109,14.666666666666666,8,3,0,false,0,0.0,0,1,true,7,0.0014285714285714286,86,1,7,0.0014285714285714286,86
tecnología y información,5,11,314,14.333333333333334,8,3,1,true,2,0.05625,1971,1,true,44,0.036969697045454546,2575,1,46,0.03780797108695652,2549
tecnología y videojuegos,5,11,601,14.8,8,3,0,false,0,0.0,0,1,true,2,0.0,380,1,2,0.0,380
padres y apoyo,9,12,51,14.833333333333334,8,3,1,true,1,0.0,4843,1,true,11,0.012396694545454546,93,1,12,0.011363636666666668,489
padres y consejos,6,12,146,14.333333333333334,8,3,1,true,1,0.0,4843,1,true,1,0.0,69,1,2,0.0,2456
padres y castigos,4,12,105,15.0,8,3,0,false,0,0.0,0,0,false,0,0.0,0,0,0,0.0,0
hogar y refugio,8,13,499,14.5,8,3,0,false,0,0.0,0,1,true,1,0.0,486,1,1,0.0,486
hogar y familia,7,13,244,14.666666666666666,8,3,1,true,5,0.0,4564,1,true,71,0.06027528823943662,663,1,76,0.05630980875,919
hogar y comodidad,6,13,124,14.5,8,3,0,false,0,0.0,0,1,true,15,0.022424242666666667,226,1,15,0.022424242666666667,226
conflictos y golpes,9,14,272,14.4,8,3,0,false,0,0.0,0,0,false,0,0.0,0,0,0,0.0,0
conflictos y diálogo,6,14,195,14.666666666666666,8,3,0,false,0,0.0,0,1,true,3,0.27777777833333334,13812,1,3,0.27777777833333334,13812
conflictos y pelea,4,14,440,14.666666666666666,8,3,0,false,0,0.0,0,0,false,0,0.0,0,0,0,0.0,0
depresión y suicidio,5,15,556,14.333333333333334,8,3,0,false,0,0.0,0,1,true,1,-0.1,29,1,1,-0.1,29
depresión y tristeza,5,15,588,14.8,8,3,0,false,0,0.0,0,1,true,4,-0.025,213,1,4,-0.025,213
depresión y llorar,4,15,339,14.5,8,3,0,false,0,0.0,0,0,false,0,0.0,0,0,0,0.0,0
orientación sexual y información,6,16,314,14.5,8,3,0,false,0,0.0,0,0,false,0,0.0,0,0,0,0.0,0
orientación sexual y heterosexual,4,16,292,14.333333333333334,8,3,0,false,0,0.0,0,0,false,0,0.0,0,0,0,0.0,0
orientación sexual y homosexual,3,16,301,14.0,8,3,0,false,0,0.0,0,0,false,0,0.0,0,0,0,0.0,0
confianza y amigos,18,17,40,14.5,8,3,0,false,0,0.0,0,0,false,0,0.0,0,0,0,0.0,0
confianza y papás,7,17,427,14.5,8,3,0,false,0,0.0,0,0,false,0,0.0,0,0,0,0.0,0
confianza y familia,5,17,244,14.0,8,3,1,true,2,0.0,2358,1,true,8,-0.045454545,669,1,10,-0.036363636,1007
