Entorno Específico,,,,,,,
No.,Activity,Name,Star Date,End Date,Records, Followers (15/04/20) ,Link
1,Actor,Eugenio Derbez,26/02/19,13/04/20,380," 17,544,849 ",https://www.facebook.com/EugenioDerbezTV/
2,Actor,Karla Souza,22/10/19,13/04/20,10," 1,647,683 ",https://www.facebook.com/KarlaSouzaOfficial/
3,Actor,Karol Sevilla,07/03/17,13/04/20,319," 3,895,782 ",https://www.facebook.com/karolsevillaoficial/
4,Actor,Luis Gerardo Mendez,06/09/19,13/04/20,30," 1,058,353 ",https://www.facebook.com/LuisGerardoMendezOficial/
5,Actor,Martha Higareda,11/10/16,13/04/20,398," 811,861 ",https://www.facebook.com/oficialmarthahigareda/
6,Actor,Omar Chaparro,14/03/20,13/04/20,25," 3,512,424 ",https://www.facebook.com/SoyOmarChaparro/
7,Contenido Audiovisual,El Señor de los Cielos,20/09/20,12/04/20,398," 9,388,332 ",https://www.facebook.com/srdeloscielostv/
8,Contenido Audiovisual,El Conjuro,24/02/16,12/04/20,59," 4,529,054 ",https://www.facebook.com/El-Conjuro-1692177077691697/
9,Contenido Audiovisual,Élite,05/07/18,12/04/20,93," 1,093,367 ",https://www.facebook.com/NetflixElite/
10,Contenido Audiovisual,El Stand de los Besos,17/05/18,12/04/20,15," 109,855 ",https://www.facebook.com/El-Stand-De-Los-Besos-193187058059609/
11,Contenido Audiovisual,Marvel,29/07/19,12/04/20,186," 33,074,513 ",https://www.facebook.com/MarvelLatinoamerica/
12,Contenido Audiovisual,Narcos,08/07/15,12/04/20,300," 3,875,148 ",https://www.facebook.com/NarcosLAT/
13,Fútbol,América,12/02/20,13/04/20,398," 10,583,849 ",https://www.facebook.com/ClubAmerica/
14,Fútbol,Chicharito,24/10/12,13/04/20,377," 26,985 ",https://www.facebook.com/CH14Of/
15,Fútbol,Chivas,08/03/20,13/04/20,294," 6,539,844 ",https://www.facebook.com/Chivas/
16,Fútbol,Raúl Jiménez,23/04/17,13/04/20,398," 1,760,424 ",https://www.facebook.com/RaulJimenezOficial/
17,Gamer,AuronPlay,01/03/14,05/04/20,398," 1,894,054 ",https://www.facebook.com/AuronPlayOficial/
18,Gamer,El Rubius,07/09/15,05/04/20,398," 7,120,753 ",https://www.facebook.com/ElrubiusOMG-337992166223323/
19,Gamer,El Trollino,26/04/17,05/04/20,398," 96,767 ",https://www.facebook.com/ElTrollino/
20,Gamer,Fernan Floo,25/09/15,05/04/20,194," 5,415,368 ",https://www.facebook.com/FERNANFL00/
21,Gamer,The Donato,18/02/17,05/04/20,398," 697,707 ",https://www.facebook.com/TheDonato10M/
22,Gamer,Vegueta 777,13/01/20,05/04/20,398," 3,204,051 ",https://www.facebook.com/Vegetta777paginaoficial/
23,Gamer,Willyrex,27/01/17,05/04/20,398," 2,554,884 ",https://www.facebook.com/TheWillyrexOficial/
24,Gamer,Yair17,26/04/17,05/04/20,222," 131,574 ",https://www.facebook.com/Yair17-404379716611169/
25,Influencer,Aldito Mancinas,24/05/19,12/04/20,180," 312,379 ",https://www.facebook.com/AlditoMancinas/
26,Influencer,Alex Casas,09/07/19,05/04/20,80," 14,628 ",https://www.facebook.com/Alex-Casas-V-492397874895032/
27,Influencer,Badabum,05/01/20,05/04/20,42," 35,358,414 ",https://www.facebook.com/BadabunOficial/
28,Influencer,Caeli,10/05/17,05/04/20,398," 5,674,272 ",https://www.facebook.com/tututumiercoles/
29,Influencer,Claudiapia,13/02/18,12/04/20,23," 11,243 ",https://www.facebook.com/Claudipia0/
30,Influencer,Dross,28/02/10,05/04/20,56," 30,222 ",https://www.facebook.com/DROSS-235298764979/
31,Influencer,Gisselle Kuri,17/12/17,12/04/20,33," 254,241 ",https://www.facebook.com/gissellekuri/
32,Influencer,Jazmin Morelos,08/01/17,12/04/20,398," 50,499 ",https://www.facebook.com/jazminmorelos101196/
33,Influencer,Juanpa Zurita,03/01/20,05/04/20,135," 6,092,567 ",https://www.facebook.com/ElJuanpaZurita/
34,Influencer,JukiLop,13/10/18,12/04/20,398," 2,523,749 ",https://www.facebook.com/Jukilopaa/
35,Influencer,Killadamente,13/10/16,12/04/20,399," 6,868,127 ",https://www.facebook.com/Killadamenteofficial/
36,Influencer,Kimberly Loaiza,20/07/19,05/04/20,398," 7,509,679 ",https://www.facebook.com/kimberlyloaizaa/
37,Influencer,Lizbeth Rodríguez,05/03/19,05/04/20,398," 9,702,633 ",https://www.facebook.com/LizbethRodriguezOficial/
38,Influencer,Los Polinesios,14/01/16,05/04/20,402," 247,578 ",https://www.facebook.com/PPLosPolinesios/
39,Influencer,Luisito Comunica,22/01/17,05/04/20,398," 8,331,233 ",https://www.facebook.com/LuisitoComunica/
40,Influencer,Miku,11/04/18,12/04/20,231," 901,808 ",https://www.facebook.com/bunnymiku/
41,Influencer,Yola Consejera,30/08/19,12/04/20,58," 2,485,916 ",https://www.facebook.com/yolaconsejera/
42,Influencer,Yuya,17/06/19,05/04/20,398," 12,522,304 ",https://www.facebook.com/yyuyaa/
43,Músico,Anuel,03/06/17,05/04/20,374," 3,558,499 ",https://www.facebook.com/Anuel2bleAofficial/
44,Músico,Arrolladora Banda El Limón,27/01/20,05/04/20,398," 19,792,295 ",https://www.facebook.com/arrolladoraoficial/
45,Músico,Bad Bunny,26/10/17,04/04/20,382," 5,226,959 ",https://www.facebook.com/BadBunnyOfficial/
46,Músico,Banda MS,05/08/19,05/04/20,352," 13,194,334 ",https://www.facebook.com/BANDAMSOFICIAL/
47,Músico,Carlos Rivera,01/03/19,05/04/20,351," 2,393,727 ",https://www.facebook.com/carlosrivera.mx/
48,Músico,Cartel de Santa,04/10/19,04/04/20,399," 2,121,830 ",https://www.facebook.com/carteldesantaOG/
49,Músico,Chistian Nodal,19/09/17,04/04/20,398," 1,497,906 ",https://www.facebook.com/christiannodaloficialmx/
50,Músico,Daddy Yanke,06/11/19,04/04/20,156," 28,720,839 ",https://www.facebook.com/daddyyankee/
51,Músico,Danna Paola,31/12/18,04/04/20,150," 1,782,033 ",https://www.facebook.com/DannaPaola/
52,Músico,Grupo Firme,04/02/20,05/04/20,93," 5,393,339 ",https://www.facebook.com/GrupoFirmeOficial/
53,Músico,JBalvin,21/08/19,04/04/20,372," 21,125,301 ",https://www.facebook.com/JBalvinOficial/
54,Músico,KarolG,09/09/16,04/04/20,399," 7,486,823 ",https://www.facebook.com/KarolGOficial/
55,Músico,Maluma,24/11/17,04/04/20,399," 23,419,953 ",https://www.facebook.com/MALUMAMUSIK/
56,Músico,Nicky Jam,02/05/19,04/04/20,265," 25,619,324 ",https://www.facebook.com/NickyJamPR/
57,Músico,Ozuna,15/06/19,04/04/20,178," 7,181,227 ",https://www.facebook.com/ozunapr/
58,Músico,Ricky Martin,25/07/19,04/04/20,211," 11,452,116 ",https://www.facebook.com/RickyMartinOfficialPage/
59,Músico,Rosalia,25/01/17,04/04/20,399," 570,882 ",https://www.facebook.com/rosalia.vt/
60,Músico,Virlan García,07/11/18,04/04/20,398," 1,793,742 ",https://www.facebook.com/VirlanGarcia/
61,Videojuego,ForniteES,11/02/20,05/04/20,98," 4,815,855 ",https://www.facebook.com/FortniteES/
62,Videojuego,Fornite México,03/09/19,05/04/20,398," 19,753 ",https://www.facebook.com/FortnitMexico/
,,,21/03/18,07/04/20,17079," 6,558,479 ",
,,,,748.2258065,275.4677419,,
,,,,,100 páginas promedio,,
